Name,ERA_Correctness,FIP_Correctness,WHIP_Correctness
Jesse Chavez,Correct :),Correct :),Correct :)
Chris Devenski,Correct :),Correct :),Correct :)
Robbie Ray,Correct :),Correct :),Correct :)
Huascar Ynoa,Correct :),Correct :),Correct :)
Easton McGee,Correct :),Correct :),Correct :)
Hunter Brown,Correct :),Correct :),Correct :)
Edinson Volquez,Correct :),Correct :),Correct :)
Adbert Alzolay,Correct :),Correct :),Correct :)
Edwin Uceta,Correct :),Correct :),Correct :)
Max Kranick,Correct :),Correct :),Correct :)
Josh Winckowski,Correct :),Correct :),Correct :)
Matt Waldron,Correct :),Correct :),Correct :)
Scott Effross,Correct :),Correct :),Correct :)
Peter Lambert,Correct :),Correct :),Correct :)
Chad Bettis,Correct :),Correct :),Correct :)
Sal Romano,Correct :),Correct :),Correct :)
Ashton Goudeau,Correct :),Correct :),Correct :)
Max Meyer,Correct :),Correct :),Correct :)
Tyler Alexander,Correct :),Correct :),Correct :)
Jose Cuas,Correct :),Correct :),Correct :)
Hans Crouse,Correct :),Correct :),Correct :)
Doug Fister,Correct :),Correct :),Correct :)
Jeff Samardzija,Correct :),Correct :),Correct :)
Mason Miller,Correct :),Correct :),Correct :)
Davis Martin,Correct :),Correct :),Correct :)
Carmen Mlodzinski,Correct :),Correct :),Correct :)
Aaron Civale,Correct :),Correct :),Correct :)
Jordan Montgomery,Correct :),Correct :),Correct :)
Jonathan Holder,Correct :),Correct :),Correct :)
Jordan Holloway,Correct :),Correct :),Correct :)
Cristian Javier,Correct :),Correct :),Correct :)
Connor Sadzeck,Correct :),Correct :),Correct :)
Griffin Canning,Correct :),Correct :),Correct :)
Humberto Mejía,Correct :),Correct :),Correct :)
Grayson Rodriguez,Correct :),Correct :),Correct :)
Drew Rasmussen,Correct :),Correct :),Correct :)
Austin Davis,Correct :),Correct :),Correct :)
Ryan Yarbrough,Correct :),Correct :),Correct :)
Dane Dunning,Correct :),Correct :),Correct :)
José Suarez,Correct :),Correct :),Correct :)
Tyson Miller,Correct :),Correct :),Correct :)
Luis Medina,Correct :),Correct :),Correct :)
Josh Rogers,Correct :),Correct :),Correct :)
Reggie McClain,Correct :),Correct :),Correct :)
Tanner Banks,Correct :),Correct :),Correct :)
Justus Sheffield,Correct :),Correct :),Correct :)
Tyler Skaggs,Correct :),Correct :),Correct :)
Gabriel Ynoa,Correct :),Correct :),Correct :)
Ian Kennedy,Correct :),Correct :),Correct :)
Josh Fleming,Correct :),Correct :),Correct :)
James Shields,Correct :),Correct :),Correct :)
Mike Montgomery,Correct :),Correct :),Correct :)
Jerry Blevins,Correct :),Correct :),Correct :)
CC Sabathia,Correct :),Correct :),Correct :)
Yefry Ramírez,Correct :),Correct :),Correct :)
Jason Vargas,Correct :),Correct :),Correct :)
Jimmy Yacabonis,Correct :),Correct :),Correct :)
Luiz Gohara,Correct :),Correct :),Correct :)
Robert Stock,Correct :),Correct :),Correct :)
Roansy Contreras,Correct :),Correct :),Correct :)
Sam Tuivailala,Correct :),Correct :),Correct :)
Mauricio Llovera,Correct :),Correct :),Correct :)
Ervin Santana,Correct :),Correct :),Correct :)
Luis Severino,Correct :),Correct :),Correct :)
Allan Winans,Correct :),Correct :),Correct :)
Trey Wingenter,Correct :),Correct :),Correct :)
J.C. Mejía,Correct :),Correct :),Correct :)
Adrian Sampson,Correct :),Correct :),Correct :)
Jake Bird,Correct :),Correct :),Correct :)
Shelby Miller,Correct :),Correct :),Correct :)
Reid Detmers,Correct :),Correct :),Correct :)
Joakim Soria,Correct :),Correct :),Correct :)
Tyler Gilbert,Correct :),Correct :),Correct :)
Michel Baez,Correct :),Correct :),Correct :)
Wily Peralta,Correct :),Correct :),Correct :)
Dylan Coleman,Correct :),Correct :),Correct :)
Iván Nova,Correct :),Correct :),Correct :)
Clay Buchholz,Correct :),Correct :),Correct :)
Kyle Bradish,Correct :),Correct :),Correct :)
Alec Mills,Correct :),Correct :),Correct :)
Austin Voth,Correct :),Correct :),Correct :)
Yusei Kikuchi,Correct :),Correct :),Correct :)
Wei-Yin Chen,Correct :),Correct :),Correct :)
Brian Johnson,Correct :),Correct :),Correct :)
Packy Naughton,Correct :),Correct :),Correct :)
Bryan Woo,Correct :),Correct :),Correct :)
Jose Alvarez,Correct :),Correct :),Correct :)
Félix Hernández,Correct :),Correct :),Correct :)
Brock Stewart,Correct :),Correct :),Correct :)
Casey Kelly,Correct :),Correct :),Correct :)
Jim Johnson,Correct :),Correct :),Correct :)
A.J. Alexy,Correct :),Correct :),Correct :)
Josh James,Correct :),Correct :),Correct :)
Tyler Clippard,Correct :),Correct :),Correct :)
Ryne Stanek,Correct :),Correct :),Correct :)
Adam Plutko,Correct :),Correct :),Correct :)
Sam Hentges,Correct :),Correct :),Correct :)
José Ruiz,Correct :),Correct :),Correct :)
James McArthur,Correct :),Correct :),Correct :)
Trevor Kelley,Correct :),Correct :),Correct :)
Asher Wojciechowski,Correct :),Correct :),Correct :)
José Quintana,Correct :),Correct :),Correct :)
Dominic Leone,Correct :),Correct :),Correct :)
Ian Hamilton,Correct :),Correct :),Correct :)
Tyson Ross,Correct :),Correct :),Correct :)
Ariel Jurado,Correct :),Correct :),Correct :)
Odrisamer Despaigne,Correct :),Correct :),Correct :)
Matt Andriese,Correct :),Correct :),Correct :)
Chad Kuhl,Correct :),Correct :),Correct :)
Ryan Castellani,Correct :),Correct :),Correct :)
Jake Irvin,Correct :),Correct :),Correct :)
Trent Thornton,Correct :),Correct :),Correct :)
Matt Carasiti,Correct :),Correct :),Correct :)
Miguel Yajure,Correct :),Correct :),Correct :)
Kohl Stewart,Correct :),Correct :),Correct :)
Andrew Suárez,Correct :),Correct :),Correct :)
Dylan Lee,Correct :),Correct :),Correct :)
Reynaldo López,Correct :),Correct :),Correct :)
Sean Newcomb,Correct :),Correct :),Correct :)
Eric Skoglund,Correct :),Correct :),Correct :)
Brusdar Graterol,Correct :),Correct :),Correct :)
Lance Lynn,Correct :),Correct :),Correct :)
Blake Parker,Correct :),Correct :),Correct :)
Ronald Bolaños,Correct :),Correct :),Correct :)
Jake Latz,Correct :),Correct :),Correct :)
Zack Godley,Correct :),Correct :),Correct :)
Ryan Carpenter,Correct :),Correct :),Correct :)
Austin Pruitt,Correct :),Correct :),Correct :)
Cody Ponce,Correct :),Correct :),Correct :)
Jimmy Herget,Correct :),Correct :),Correct :)
Scott Kazmir,Correct :),Correct :),Correct :)
Seth Lugo,Correct :),Correct :),Correct :)
Merrill Kelly,Correct :),Correct :),Correct :)
Tanner Houck,Correct :),Correct :),Correct :)
Ranger Suárez,Correct :),Correct :),Correct :)
Zack Wheeler,Correct :),Correct :),Correct :)
Pedro Payano,Correct :),Correct :),Correct :)
J.P. France,Correct :),Correct :),Correct :)
Kohei Arihara,Correct :),Correct :),Correct :)
Frankie Montas,Correct :),Correct :),Correct :)
Colin Selby,Correct :),Correct :),Correct :)
Dillon Peters,Correct :),Correct :),Correct :)
Nick Kingham,Correct :),Correct :),Correct :)
Jesus Tinoco,Correct :),Correct :),Correct :)
Adonis Medina,Correct :),Correct :),Correct :)
Héctor Santiago,Correct :),Correct :),Correct :)
Justin Steele,Correct :),Correct :),Correct :)
Eduardo Rodriguez,Correct :),Correct :),Correct :)
Spencer Howard,Correct :),Correct :),Correct :)
Ryan Feierabend,Correct :),Correct :),Correct :)
Trevor Williams,Correct :),Correct :),Correct :)
Kendall Graveman,Correct :),Correct :),Correct :)
Brandon Kintzler,Correct :),Correct :),Correct :)
Michael Fulmer,Correct :),Correct :),Correct :)
Chase Anderson,Correct :),Correct :),Correct :)
Connor Overton,Correct :),Correct :),Correct :)
Noah Syndergaard,Correct :),Correct :),Correct :)
Matt Moore,Correct :),Correct :),Correct :)
Jackson Stephens,Correct :),Correct :),Correct :)
Devin Smeltzer,Correct :),Correct :),Correct :)
David Peterson,Correct :),Correct :),Correct :)
John Brebbia,Correct :),Correct :),Correct :)
Jackson Wolf,Correct :),Correct :),Correct :)
Montana DuRapau,Correct :),Correct :),Correct :)
Joe Palumbo,Correct :),Correct :),Correct :)
George Kirby,Correct :),Correct :),Correct :)
Luis Perdomo,Correct :),Correct :),Correct :)
George Soriano,Correct :),Correct :),Correct :)
Jonathan Hernández,Correct :),Correct :),Correct :)
Humberto Castellanos,Correct :),Correct :),Correct :)
Jackson Tetreault,Correct :),Correct :),Correct :)
P.J. Conlon,Correct :),Correct :),Correct :)
Osvaldo Bido,Correct :),Correct :),Correct :)
Clarke Schmidt,Correct :),Correct :),Correct :)
Dylan Cease,Correct :),Correct :),Correct :)
Miguel Castro,Correct :),Correct :),Correct :)
Diego Castillo,Correct :),Correct :),Correct :)
Gabe Speier,Correct :),Correct :),Correct :)
Buck Farmer,Correct :),Correct :),Correct :)
Josh Winder,Correct :),Correct :),Correct :)
Lucas Giolito,Correct :),Correct :),Correct :)
Brent Honeywell,Correct :),Correct :),Correct :)
Chris Ellis,Correct :),Correct :),Correct :)
Clayton Kershaw,Correct :),Correct :),Correct :)
A.J. Cole,Correct :),Correct :),Correct :)
Jake Reed,Correct :),Correct :),Correct :)
Kevin Gausman,Correct :),Correct :),Correct :)
Zach Plesac,Correct :),Correct :),Correct :)
Zach Neal,Correct :),Correct :),Correct :)
Trevor Cahill,Correct :),Correct :),Correct :)
Bryan Garcia,Correct :),Correct :),Correct :)
Kirk McCarty,Correct :),Correct :),Correct :)
Mychal Givens,Correct :),Correct :),Correct :)
Joe Mantiply,Correct :),Correct :),Correct :)
Emmet Sheehan,Correct :),Correct :),Correct :)
Conner Greene,Correct :),Correct :),Correct :)
Gavin Williams,Correct :),Correct :),Correct :)
JC Ramírez,Correct :),Correct :),Correct :)
Hogan Harris,Correct :),Correct :),Correct :)
Johnny Cueto,Correct :),Correct :),Correct :)
Alek Manoah,Correct :),Correct :),Correct :)
Deivi García,Correct :),Correct :),Correct :)
Mark Leiter Jr.,Correct :),Correct :),Correct :)
Freddy Tarnok,Correct :),Correct :),Correct :)
Pedro Avila,Correct :),Correct :),Correct :)
Evan Phillips,Correct :),Correct :),Correct :)
Danny Salazar,Correct :),Correct :),Correct :)
Andre Pallante,Correct :),Correct :),Correct :)
Jace Fry,Correct :),Correct :),Correct :)
Wade LeBlanc,Correct :),Correct :),Correct :)
Daniel Lynch IV,Correct :),Correct :),Correct :)
Jefry Rodriguez,Correct :),Correct :),Correct :)
Sam Howard,Correct :),Correct :),Correct :)
Cody Anderson,Correct :),Correct :),Correct :)
Kyle Wright,Correct :),Correct :),Correct :)
Austin Bibens-Dirkx,Correct :),Correct :),Correct :)
Dereck Rodríguez,Correct :),Correct :),Correct :)
Simeon Woods Richardson,Correct :),Correct :),Correct :)
Nick Tropeano,Correct :),Correct :),Correct :)
J.A. Happ,Correct :),Correct :),Correct :)
Anthony DeSclafani,Correct :),Correct :),Correct :)
Aaron Ashby,Correct :),Correct :),Correct :)
David Hess,Correct :),Correct :),Correct :)
Hector Velázquez,Correct :),Correct :),Correct :)
Yerry Rodríguez,Correct :),Correct :),Correct :)
Wade Miley,Correct :),Correct :),Correct :)
Bryan Hoeing,Correct :),Correct :),Correct :)
Dauri Moreta,Correct :),Correct :),Correct :)
Kenta Maeda,Correct :),Correct :),Correct :)
Luis Garcia,Correct :),Correct :),Correct :)
Dustin May,Correct :),Correct :),Correct :)
Luke Farrell,Correct :),Correct :),Correct :)
Andrew Triggs,Correct :),Correct :),Correct :)
Alex Young,Correct :),Correct :),Correct :)
Tommy Hunter,Correct :),Correct :),Correct :)
Chase Silseth,Correct :),Correct :),Correct :)
Jonny Venters,Correct :),Correct :),Correct :)
Caleb Kilian,Correct :),Correct :),Correct :)
Josh Tomlin,Correct :),Correct :),Correct :)
Pablo López,Correct :),Correct :),Correct :)
Mike Leake,Correct :),Correct :),Correct :)
Andrew Heaney,Correct :),Correct :),Correct :)
Dylan Bundy,Correct :),Correct :),Correct :)
Julio Urías,Correct :),Correct :),Correct :)
Thomas Szapucki,Correct :),Correct :),Correct :)
Ken Waldichuk,Correct :),Correct :),Correct :)
Kyle Muller,Correct :),Correct :),Correct :)
Max Castillo,Correct :),Correct :),Correct :)
Victor González,Correct :),Correct :),Correct :)
Luis Oviedo,Correct :),Correct :),Correct :)
Justin Verlander,Correct :),Correct :),Correct :)
José Leclerc,Correct :),Correct :),Correct :)
Jakob Junis,Correct :),Correct :),Correct :)
Antonio Senzatela,Correct :),Correct :),Correct :)
Michael Grove,Correct :),Correct :),Correct :)
Daniel Castano,Correct :),Correct :),Correct :)
Nick Pivetta,Correct :),Correct :),Correct :)
Jhoulys Chacín,Correct :),Correct :),Correct :)
Garrett Whitlock,Correct :),Wrong :(,Wrong :(
Kwang Hyun Kim,Correct :),Correct :),Correct :)
Tanner Anderson,Correct :),Correct :),Correct :)
Zach Davies,Correct :),Correct :),Correct :)
Edward Cabrera,Wrong :(,Correct :),Wrong :(
Roenis Elías,Correct :),Correct :),Correct :)
Luis Cessa,Correct :),Correct :),Correct :)
Cooper Criswell,Correct :),Correct :),Correct :)
Chris Sale,Wrong :(,Wrong :(,Wrong :(
Drew Hutchison,Correct :),Correct :),Correct :)
Matt Manning,Correct :),Wrong :(,Correct :)
Trevor Oaks,Correct :),Correct :),Correct :)
Andrew Bellatti,Correct :),Correct :),Correct :)
Wandy Peralta,Correct :),Correct :),Correct :)
Adrián Martínez,Correct :),Correct :),Correct :)
Bryan Mitchell,Correct :),Correct :),Correct :)
Mason Englert,Correct :),Correct :),Correct :)
Matt Shoemaker,Correct :),Correct :),Correct :)
Steven Brault,Correct :),Correct :),Correct :)
Bryce Miller,Correct :),Correct :),Correct :)
Brad Keller,Correct :),Correct :),Wrong :(
Steven Matz,Correct :),Correct :),Correct :)
Elieser Hernández,Correct :),Correct :),Correct :)
Calvin Faucher,Correct :),Correct :),Correct :)
Craig Stammen,Correct :),Correct :),Correct :)
Hyeon-Jong Yang,Correct :),Correct :),Correct :)
Louie Varland,Correct :),Correct :),Correct :)
Jeff Hoffman,Correct :),Correct :),Correct :)
Jhony Brito,Correct :),Correct :),Correct :)
Charlie Barnes,Correct :),Correct :),Correct :)
Nick Lodolo,Correct :),Correct :),Correct :)
Zack Littell,Correct :),Correct :),Correct :)
Jen-Ho Tseng,Correct :),Correct :),Correct :)
Darwinzon Hernández,Correct :),Correct :),Correct :)
Yonny Chirinos,Correct :),Correct :),Correct :)
Cal Quantrill,Correct :),Correct :),Correct :)
Drew Smyly,Wrong :(,Correct :),Correct :)
Stephen Gonsalves,Correct :),Correct :),Correct :)
Buddy Boshers,Correct :),Correct :),Correct :)
Framber Valdez,Correct :),Correct :),Correct :)
Paul Blackburn,Correct :),Correct :),Correct :)
J.P. Feyereisen,Correct :),Correct :),Correct :)
Tanner Bibee,Correct :),Correct :),Correct :)
Robert Stephenson,Correct :),Correct :),Correct :)
Carlos Hernández,Correct :),Correct :),Correct :)
Dario Agrazal,Correct :),Correct :),Correct :)
David Robertson,Correct :),Correct :),Correct :)
Patrick Corbin,Wrong :(,Correct :),Wrong :(
Jarlín García,Correct :),Correct :),Correct :)
Jordan Hicks,Correct :),Correct :),Correct :)
Reese Olson,Correct :),Correct :),Correct :)
Germán Márquez,Wrong :(,Correct :),Correct :)
Caleb Smith,Correct :),Correct :),Correct :)
Jacob Nix,Correct :),Correct :),Correct :)
Clay Holmes,Correct :),Correct :),Correct :)
Andrew Albers,Correct :),Correct :),Correct :)
Erik Swanson,Correct :),Correct :),Correct :)
Hunter Greene,Correct :),Correct :),Correct :)
Jonathan Loáisiga,Correct :),Correct :),Correct :)
Chris Flexen,Correct :),Wrong :(,Wrong :(
Adalberto Mejía,Correct :),Correct :),Correct :)
Keynan Middleton,Correct :),Correct :),Correct :)
John Curtiss,Correct :),Correct :),Correct :)
Phil Maton,Correct :),Correct :),Correct :)
Ross Stripling,Correct :),Correct :),Wrong :(
Archie Bradley,Correct :),Correct :),Correct :)
Carson Fulmer,Correct :),Correct :),Correct :)
Rogelio Armenteros,Correct :),Correct :),Correct :)
Chance Adams,Correct :),Correct :),Correct :)
Emmanuel Clase,Correct :),Correct :),Correct :)
Justin Dunn,Correct :),Correct :),Correct :)
Jared Shuster,Correct :),Correct :),Correct :)
Chris Stratton,Correct :),Correct :),Correct :)
Francisco Liriano,Correct :),Correct :),Correct :)
Adrian Houser,Correct :),Correct :),Wrong :(
Sean Gilmartin,Correct :),Correct :),Correct :)
Kyle Zimmer,Correct :),Correct :),Correct :)
Noah Davis,Correct :),Correct :),Correct :)
Trevor Rogers,Correct :),Wrong :(,Correct :)
Bailey Falter,Correct :),Correct :),Correct :)
Ryan Meisinger,Correct :),Correct :),Correct :)
Vince Velasquez,Correct :),Correct :),Correct :)
Jacob deGrom,Wrong :(,Correct :),Correct :)
Rick Porcello,Correct :),Correct :),Correct :)
Andrew Cashner,Correct :),Correct :),Correct :)
Shintaro Fujinami,Correct :),Correct :),Correct :)
Rico Garcia,Correct :),Correct :),Correct :)
Jorge López,Correct :),Correct :),Correct :)
Luke Bard,Correct :),Correct :),Correct :)
Josh Taylor,Correct :),Correct :),Wrong :(
Tayler Scott,Correct :),Wrong :(,Wrong :(
Matt Strahm,Correct :),Correct :),Correct :)
Anthony Bass,Correct :),Correct :),Correct :)
Corey Oswalt,Correct :),Correct :),Correct :)
Neil Ramírez,Correct :),Correct :),Correct :)
Paul Campbell,Correct :),Correct :),Correct :)
Adrian Morejon,Correct :),Correct :),Correct :)
Nate Pearson,Correct :),Correct :),Correct :)
Chase De Jong,Correct :),Correct :),Correct :)
Joey Wentz,Correct :),Correct :),Correct :)
Bryan Baker,Correct :),Correct :),Correct :)
Joe Jacques,Correct :),Correct :),Correct :)
Kyle Harrison,Correct :),Correct :),Correct :)
Dakota Hudson,Correct :),Correct :),Correct :)
Daniel Hudson,Correct :),Correct :),Correct :)
Keaton Winn,Correct :),Correct :),Correct :)
Jeremy Hellickson,Correct :),Correct :),Correct :)
Shohei Ohtani,Wrong :(,Wrong :(,Correct :)
Max Scherzer,Wrong :(,Correct :),Correct :)
Shawn Armstrong,Correct :),Correct :),Wrong :(
Jason Hammel,Correct :),Correct :),Correct :)
Deck McGuire,Correct :),Correct :),Correct :)
Reiss Knehr,Correct :),Correct :),Correct :)
David Price,Correct :),Correct :),Correct :)
Jackson Kowar,Correct :),Correct :),Correct :)
Rob Zastryzny,Correct :),Correct :),Correct :)
Dan Straily,Correct :),Correct :),Correct :)
Alex Wood,Correct :),Correct :),Correct :)
Pierce Johnson,Correct :),Correct :),Correct :)
Austin Adams,Correct :),Correct :),Correct :)
Aaron Slegers,Correct :),Correct :),Correct :)
Tyler Holton,Correct :),Correct :),Correct :)
Félix Peña,Correct :),Correct :),Correct :)
Luis Gil,Correct :),Correct :),Correct :)
Ethan Small,Correct :),Correct :),Correct :)
Hyun Jin Ryu,Correct :),Correct :),Correct :)
Alex Cobb,Correct :),Correct :),Correct :)
Robbie Erlin,Correct :),Correct :),Correct :)
Cole Ragans,Correct :),Correct :),Correct :)
Bobby Poyner,Correct :),Correct :),Correct :)
Ryan Borucki,Correct :),Correct :),Correct :)
Joe Biagini,Correct :),Correct :),Correct :)
Bailey Ober,Correct :),Correct :),Correct :)
Scott Alexander,Correct :),Correct :),Correct :)
Steven Wright,Correct :),Correct :),Correct :)
Joe Kelly,Correct :),Correct :),Correct :)
Gregory Soto,Correct :),Correct :),Correct :)
Homer Bailey,Correct :),Correct :),Correct :)
José Berríos,Correct :),Correct :),Correct :)
Gerson Bautista,Correct :),Correct :),Correct :)
Slade Cecconi,Correct :),Correct :),Correct :)
Joe Ross,Correct :),Correct :),Correct :)
Beau Burrows,Correct :),Correct :),Correct :)
Taylor Hearn,Correct :),Correct :),Correct :)
Luis F. Ortiz,Correct :),Correct :),Correct :)
Sam Gaviglio,Correct :),Correct :),Correct :)
Taylor Cole,Correct :),Correct :),Correct :)
Kenny Rosenberg,Correct :),Correct :),Correct :)
Corey Knebel,Correct :),Correct :),Correct :)
Adam Oller,Correct :),Correct :),Correct :)
Brandon Bielak,Correct :),Correct :),Correct :)
Shane McClanahan,Wrong :(,Wrong :(,Wrong :(
Rich Hill,Correct :),Correct :),Correct :)
Nick Vincent,Correct :),Correct :),Correct :)
Jaime Barria,Wrong :(,Correct :),Correct :)
Hayden Wesneski,Correct :),Correct :),Correct :)
Mike Mayers,Wrong :(,Correct :),Wrong :(
Keegan Thompson,Correct :),Correct :),Correct :)
Cory Abbott,Correct :),Correct :),Correct :)
Cody Bradford,Correct :),Correct :),Correct :)
Glenn Otto,Correct :),Correct :),Correct :)
Adam Wainwright,Correct :),Correct :),Correct :)
Matt Bush,Correct :),Correct :),Correct :)
Mike Baumann,Correct :),Correct :),Correct :)
James Marvel,Correct :),Correct :),Correct :)
Tucker Davidson,Correct :),Correct :),Correct :)
John Lamb,Correct :),Correct :),Correct :)
